theme,token,hex
brand,primary,#4F7DFF
brand,accent_ai,#8A5CFF
brand,success,#19C37D
brand,warning,#F5B400
brand,danger,#FF5A5F
brand,pink,#FF529C
brand,cyan,#35C6E2
brand,orange,#FFA63A
dark,background,#08111F
dark,background_secondary,#0E1B30
dark,surface,#111C2E
dark,surface_elevated,#162338
dark,surface_muted,#1B2A42
dark,border,#2B3E5E
dark,divider,#243653
dark,text_primary,#F5F8FF
dark,text_secondary,#97A6C2
dark,text_muted,#72819C
dark,icon_primary,#F2F6FF
dark,icon_secondary,#B9C6E0
dark,primary,#4F7DFF
dark,primary_pressed,#3E62FF
dark,accent_ai,#8A5CFF
dark,success,#19C37D
dark,warning,#F5B400
dark,danger,#FF5A5F
dark,focus_ring,#6F92FF
dark,card_shadow,#00000033
light,background,#F7FAFF
light,background_secondary,#EEF4FF
light,surface,#FFFFFF
light,surface_elevated,#F3F7FF
light,surface_muted,#E8F0FF
light,border,#D7E2F3
light,divider,#E4ECF7
light,text_primary,#0F1B2D
light,text_secondary,#4A5A78
light,text_muted,#6E7D99
light,icon_primary,#0F1B2D
light,icon_secondary,#60708F
light,primary,#4F7DFF
light,primary_pressed,#3E62FF
light,accent_ai,#8A5CFF
light,success,#19C37D
light,warning,#F5B400
light,danger,#FF5A5F
light,focus_ring,#7DA0FF
light,card_shadow,#0B1D3A14
